Folder	H2O_mol	Frequencies	ONIOM_grain_TPD_dlpno	ONIOM_complex_dlpno	BE_Hartree_dlpno	BE_kJ/mol_dlpno	BH(0)_dlpno	BH(0)_kJ/mol_dlpno	BH(0)_Kelvin_dlpno	ONIOM_grain_TPD_b973c	ONIOM_complex_b973c	BE_Hartree_b973c	BE_kJ/mol_b973c	BH(0)_b973c	BH(0)_kJ/mol_b973c	BH(0)_Kelvin_b973c	ZPE_grain_TPD_b973c_gfn2	ZPE_complex_b973c_gfn2	ΔZPE	ΔZPE_kj/mol	BSSE	BSSE_kj/mol	ΔZPE_BSSE_kj/mol	Complex_Dispersion	Grain_Dispersion	Total_dispersion	Total_dispersion_kjmol	mol_at_complex_DLPNO	grain_at_complex_DLPNO	Deformation	Deformation_kjmol	BE_electronic_kjmol_dlpno	Complex_CC_correction	Grain_CC_correction	Total_CC_correction	Total_CC_correction_kjmol	BE_corrected_for_TPD
4	24	Real	-1588.559641260134	-1987.512968729148	0.012541348042987	32.927309286862396	0.006812338042987	17.88579353186242	2151.16827223235	-1589.014335365774	-1988.359691499268	0.0154758443718492	40.631829398290165	0.0119356343718492	31.33700804329019	3768.978845099996	0.20660104	0.22495671	0.0035402099999999	9.294821354999971	0.0021888	5.746694400000002	15.041515754999976	-0.032144517	-0.023827058	0.0062767129999999	16.47950998149999	-398.940633507865	-1588.556783531236	0.0030103420038471	7.902147760098899	40.829457046961295	-2.526840199	-2.287962097	0.0116857940000003	30.681052147000944	27.180614886862394
271	27	Real	-1659.825561764902	-2058.779651802952	0.0133039170787014	34.92943429013076	0.0076202270787014	20.00690619513078	2406.279696554938	-1660.338534159952	-2059.683375914272	0.0149614651982119	39.281326877905485	0.0116889751982119	30.689404382905508	3691.0899639206777	0.23253039	0.25061834	0.0032724899999999	8.591922494999976	0.0024112	6.330605600000003	14.922528094999976	-0.03893311	-0.02960934	0.0072830239999999	19.121579511999997	-398.940694300986	-1659.823897203335	0.0017563815518997	4.610501573736769	39.53993586386753	-2.819937313	-2.580436912	0.0123080930000001	32.314898171500346	28.598828690130752
28	18	Real	-1446.010943435139	-1844.962662108164	0.0109325520541005	28.70341541804112	0.0056823520541005	14.9190153180411	1794.346577239987	-1446.353268215409	-1845.697638319577	0.0144898150460903	38.04300940351027	0.0110332150460903	28.967706103510253	3484.0170875400872	0.15436879	0.17264085	0.0034566	9.075303300000016	0.0017936	4.709096800000002	13.78440010000002	-0.022620474	-0.015483084	0.005096644	13.381238822000002	-398.940417201943	-1446.01029443276	0.0010179214070831	2.6720436935931957	31.375459111634317	-1.951732216	-1.713925047	0.0106148609999998	27.869317555499645	23.99431861804112
150	24	Real	-1588.55613111783	-1987.508390993736	0.0114737549349683	30.12434358175949	0.0064321449349684	16.887596526759545	2031.112669276328	-1589.011472986868	-1988.355097550817	0.0137442748268767	36.08559355796501	0.0107314648268768	28.175460902965067	3388.731813436641	0.20663933	0.2244676	0.0030128099999999	7.910132654999944	0.0020288	5.326614400000003	13.236747054999944	-0.033356664	-0.025253204	0.006062714	15.917655607	-398.940543444631	-1588.553694708882	0.0026790852881504	7.032598881394847	37.15694246315434	-2.528042627	-2.289347347	0.0115029720000001	30.20105298600044	24.797729181759486
63	15	Real	-1374.739126188756	-1773.690130636372	0.0102183266449173	26.828216606230622	0.0043026766449173	11.296677531230625	1358.6791239389283	-1375.024346584644	-1774.368942328461	0.0147154546948513	38.635426301332245	0.0106654046948513	28.002020026332243	3367.871653653624	0.12849174	0.14735725	0.00405005	10.633406275000004	0.0018656	4.898132800000002	15.531539075000005	-0.018691325	-0.010995694	0.005654885	14.846900567500004	-398.940553604646	-1374.737684711467	0.0016739936140197	4.394233236801881	31.222449843032503	-1.65718652	-1.418099553	0.0118946589999999	31.22942720449993	21.93008380623062
115	18	Real	-1446.012159421556	-1844.962406687694	0.009461145167279	24.84023663669109	0.004373815167279	11.483451721691065	1381.1429140902924	-1446.353532867293	-1845.697195840088	0.0137826836728436	36.18643598305096	0.0105097536728436	27.59335826805093	3318.7209013024144	0.15401946	0.17210785	0.00327293	8.593077715000023	0.0018144	4.763707200000002	13.356784915000024	-0.022598198	-0.01492095	0.0056365019999999	14.798636000999997	-398.940523553521	-1446.010201845442	0.0022201435638748	5.82787685517161	30.668113491862695	-1.948787383	-1.709737917	0.0118571579999999	31.130968328999945	20.076529436691082
365	21	Real	-1517.293807017658	-1916.245389863328	0.0107967246990483	28.346800697351455	0.0059631446990483	15.656236407351408	1883.0139664793712	-1517.693017471784	-1917.036098913426	0.0132011525199686	34.65962594117775	0.0103931725199686	27.287274451177705	3281.9074496471385	0.18155301	0.19917645	0.00280798	7.372351490000045	0.0020256	5.3182128	12.690564290000047	-0.026146036	-0.017732606	0.006372684	16.731481842	-398.940681558094	-1517.291389518033	0.0025220625021233	6.620414068073899	34.967214765425354	-2.236823283	-1.998386456	0.0112445190000003	29.522484634500895	23.028587897351454
164	21	Real	-1517.291411876049	-1916.24411920129	0.0119212042698109	31.299121810388556	0.0066777942698109	17.532548855388608	2108.6826682801543	-1517.690665946776	-1917.034106184716	0.0135599488178286	35.60164562120906	0.0102189388178286	26.82982386620911	3226.888745403151	0.18052939	0.19868586	0.0033410099999999	8.771821754999946	0.0019024	4.9947512000000005	13.766572954999946	-0.026152172	-0.017063444	0.007047982	18.504476741000005	-398.940746343918	-1517.290190547774	0.0012611053280124	3.310401486032788	34.609523296421344	-2.236606106	-1.999708813	0.0097049849999999	25.48043811749985	26.304370610388556
26	21	Real	-1517.286445595754	-1916.238366314629	0.0111345979041743	29.23388679740981	0.0064450079041743	16.92136825240981	2035.174477581784	-1517.684485449924	-1917.027477981244	0.0131122421978489	34.42619189045229	0.0101666521978489	26.692545345452288	3210.377920888432	0.18105968	0.19882073	0.0029455899999999	7.733646544999999	0.0017439999999999	4.578872	12.312518545	-0.029691876	-0.021372087	0.0062790429999999	16.485627396499996	-398.940690286552	-1517.284557532644	0.001983897529044	5.207731013740613	34.44161781115042	-2.239984267	-2.002512996	0.0102789629999997	26.98741735649935	24.65501479740981
268	27	Real	-1659.824809805365	-2058.777176621176	0.0115806948397221	30.40511430169045	0.0067280648397221	17.664534236690386	2124.556873925494	-1660.339169604091	-2059.68196702672	0.0129171335070168	33.91393402267272	0.0101109035070168	26.546177157672663	3192.7738598186916	0.23157503	0.24919672	0.00280623	7.367756865000059	0.0020464	5.3728232	12.74058006500006	-0.036100923	-0.02804514	0.006015037	15.792479643500002	-398.940699216483	-1659.823404905662	0.0014918041909481	3.9159860012389913	34.32110030292944	-2.820044718	-2.584080931	0.0087714789999999	23.02951811449992	25.032291101690447
